Country,Time,Value
Germany,2016-05,0.1992032
Germany,2016-06,0.2988048
Germany,2016-07,0.4970179
Germany,2016-08,0.3976143
Germany,2016-09,0.5976096
Germany,2016-10,0.7968128
Germany,2016-11,0.8024072
Germany,2016-12,1.504514
Germany,2017-01,1.616162
Germany,2017-02,1.913394
Germany,2017-03,1.4
Germany,2017-04,1.698302
Germany,2017-05,1.192843
Germany,2017-06,1.390268
Germany,2017-07,1.384768
Germany,2017-08,1.584158
Germany,2017-09,1.683168
Germany,2017-10,1.284585
Germany,2017-11,1.59204
Germany,2017-12,1.383399
Germany,2018-01,1.39165
Germany,2018-02,1.086957
Germany,2018-03,1.47929
Germany,2018-04,1.277014
Germany,2018-05,2.062868
Germany,2018-06,1.860921
Germany,2018-07,1.853659
Germany,2018-08,1.851852
Germany,2018-09,1.94742
Germany,2018-10,2.341463
Germany,2018-11,2.056807
Germany,2018-12,1.559454
Germany,2019-01,1.372549
Germany,2019-02,1.466276
Germany,2019-03,1.263363
Germany,2019-04,2.036857
Germany,2019-05,1.443696
Germany,2019-06,1.634615
Germany,2019-07,1.724138
Germany,2019-08,1.435407
Germany,2019-09,1.241643
Germany,2019-10,1.143947
Germany,2019-11,1.055662
Germany,2019-12,1.535509
Portugal,2000-01,2.094064
Portugal,2000-02,1.828184
Portugal,2000-03,1.547905
Portugal,2000-04,2.082461
Portugal,2000-05,2.535863
Portugal,2000-06,2.891107
Portugal,2000-07,3.252349
Portugal,2000-08,3.454046
Portugal,2000-09,3.383684
Portugal,2000-10,3.520461
Portugal,2000-11,3.733768
Portugal,2000-12,3.861063
Portugal,2001-01,4.447762
Portugal,2001-02,4.815338
Portugal,2001-03,5.116537
Portugal,2001-04,4.491509
Portugal,2001-05,4.774983
Portugal,2001-06,4.525285
Portugal,2001-07,4.300104
Portugal,2001-08,4.058498
Portugal,2001-09,4.116131
Portugal,2001-10,4.095398
Portugal,2001-11,3.965979
Portugal,2001-12,3.783935
Portugal,2002-01,3.568924
Portugal,2002-02,3.263197
Portugal,2002-03,3.25552
Portugal,2002-04,3.509415
Portugal,2002-05,3.328489
Portugal,2002-06,3.392309
Portugal,2002-07,3.453135
Portugal,2002-08,3.729226
Portugal,2002-09,3.704616
Portugal,2002-10,3.970416
Portugal,2002-11,4.032672
Portugal,2002-12,3.972306
Portugal,2003-01,3.959574
Portugal,2003-02,4.122563
Portugal,2003-03,3.748025
Portugal,2003-04,3.703938
Portugal,2003-05,3.604305
Portugal,2003-06,3.265986
Portugal,2003-07,2.786768
Portugal,2003-08,2.760989
Portugal,2003-09,3.016256
Portugal,2003-10,2.912513
Portugal,2003-11,2.455228
Portugal,2003-12,2.373069
Portugal,2004-01,2.228231
Portugal,2004-02,2.089684
Portugal,2004-03,2.25405
Portugal,2004-04,2.336807
Portugal,2004-05,2.429179
Portugal,2004-06,2.664469
Portugal,2004-07,2.772003
Portugal,2004-08,2.364779
Portugal,2004-09,2.089827
Portugal,2004-10,2.193136
Portugal,2004-11,2.467368
Portugal,2004-12,2.487586
Portugal,2005-01,2.016158
Portugal,2005-02,2.127583
Portugal,2005-03,2.240402
Portugal,2005-04,2.067848
Portugal,2005-05,1.827197
Portugal,2005-06,1.623549
Portugal,2005-07,2.122298
Portugal,2005-08,2.591498
Portugal,2005-09,2.870381
Portugal,2005-10,2.68908
Portugal,2005-11,2.559407
Portugal,2005-12,2.580887
Portugal,2006-01,2.702257
Portugal,2006-02,2.956885
Portugal,2006-03,3.90088
Portugal,2006-04,3.732145
Portugal,2006-05,3.745714
Portugal,2006-06,3.671601
Portugal,2006-07,3.120764
Portugal,2006-08,2.848878
Portugal,2006-09,3.080175
Portugal,2006-10,2.67269
Portugal,2006-11,2.382206
Portugal,2006-12,2.507948
Portugal,2007-01,2.572635
Portugal,2007-02,2.345208
Portugal,2007-03,2.331814
Portugal,2007-04,2.736089
Portugal,2007-05,2.445445
Portugal,2007-06,2.440993
Portugal,2007-07,2.382638
Portugal,2007-08,2.055534
Portugal,2007-09,2.086204
Portugal,2007-10,2.575126
Portugal,2007-11,2.791909
Portugal,2007-12,2.680872
Portugal,2008-01,2.832532
Portugal,2008-02,2.85986
Portugal,2008-03,3.095335
Portugal,2008-04,2.481438
Portugal,2008-05,2.780724
Portugal,2008-06,3.348869
Portugal,2008-07,3.048058
Portugal,2008-08,3.015136
Portugal,2008-09,3.10377
Portugal,2008-10,2.38168
Portugal,2008-11,1.377075
Portugal,2008-12,0.7801126
Portugal,2009-01,0.2589152
Portugal,2009-02,0.195799
Portugal,2009-03,-0.4812846
Portugal,2009-04,-0.5438964
Portugal,2009-05,-1.171351
Portugal,2009-06,-1.590007
Portugal,2009-07,-1.542835
Portugal,2009-08,-1.330208
Portugal,2009-09,-1.664839
Portugal,2009-10,-1.457387
Portugal,2009-11,-0.5912017
Portugal,2009-12,-0.04635819
Portugal,2010-01,0.1161024
Portugal,2010-02,0.2030159
Portugal,2010-03,0.5665478
Portugal,2010-04,0.7241472
Portugal,2010-05,1.058207
Portugal,2010-06,1.174661
Portugal,2010-07,1.8882
Portugal,2010-08,1.980456
Portugal,2010-09,1.970145
Portugal,2010-10,2.347697
Portugal,2010-11,2.286047
Portugal,2010-12,2.515289
Portugal,2011-01,3.603672
Portugal,2011-02,3.563457
Portugal,2011-03,4.022748
Portugal,2011-04,4.037376
Portugal,2011-05,3.843368
Portugal,2011-06,3.405454
Portugal,2011-07,3.152364
Portugal,2011-08,2.905548
Portugal,2011-09,3.555239
Portugal,2011-10,4.198687
Portugal,2011-11,3.933859
Portugal,2011-12,3.611973
Portugal,2012-01,3.510754
Portugal,2012-02,3.599862
Portugal,2012-03,3.14852
Portugal,2012-04,3.005106
Portugal,2012-05,2.696853
Portugal,2012-06,2.710317
Portugal,2012-07,2.771004
Portugal,2012-08,3.076716
Portugal,2012-09,2.880633
Portugal,2012-10,2.130401
Portugal,2012-11,1.889436
Portugal,2012-12,1.91921
Portugal,2013-01,0.1748393
Portugal,2013-02,-0.0262552
Portugal,2013-03,0.4541689
Portugal,2013-04,0.1831484
Portugal,2013-05,0.7072009
Portugal,2013-06,0.9800388
Portugal,2013-07,0.7579247
Portugal,2013-08,0.153405
Portugal,2013-09,0.1155862
Portugal,2013-10,-0.2463421
Portugal,2013-11,-0.1534537
Portugal,2013-12,0.1952814
Portugal,2014-01,0.05851434
Portugal,2014-02,-0.08282661
Portugal,2014-03,-0.365667
Portugal,2014-04,-0.1410844
Portugal,2014-05,-0.4384007
Portugal,2014-06,-0.4193392
Portugal,2014-07,-0.8724599
Portugal,2014-08,-0.3593989
Portugal,2014-09,-0.3732309
Portugal,2014-10,0.003983072
Portugal,2014-11,0.0189617
Portugal,2014-12,-0.3569866
Portugal,2015-01,-0.3932284
Portugal,2015-02,-0.2072382
Portugal,2015-03,0.3101626
Portugal,2015-04,0.3979822
Portugal,2015-05,0.9543829
Portugal,2015-06,0.8023893
Portugal,2015-07,0.7668635
Portugal,2015-08,0.658093
Portugal,2015-09,0.8751336
Portugal,2015-10,0.6332832
Portugal,2015-11,0.6435777
Portugal,2015-12,0.3971858
Portugal,2016-01,0.7804512
Portugal,2016-02,0.4041939
Portugal,2016-03,0.449389
Portugal,2016-04,0.4756855
Portugal,2016-05,0.3325537
Portugal,2016-06,0.5461405
Portugal,2016-07,0.6108116
Portugal,2016-08,0.7236612
Portugal,2016-09,0.6298589
Portugal,2016-10,0.8845792
Portugal,2016-11,0.5750203
Portugal,2016-12,0.8777074
Portugal,2017-01,1.330856
Portugal,2017-02,1.552757
Portugal,2017-03,1.369849
Portugal,2017-04,1.978557
Portugal,2017-05,1.450715
Portugal,2017-06,0.9085641
Portugal,2017-07,0.901756
Portugal,2017-08,1.135665
Portugal,2017-09,1.389613
Portugal,2017-10,1.391736
Portugal,2017-11,1.549593
Portugal,2017-12,1.466212
Portugal,2018-01,1.031868
Portugal,2018-02,0.5772307
Portugal,2018-03,0.6883623
Portugal,2018-04,0.3965452
Portugal,2018-05,1.043151
Portugal,2018-06,1.516538
Portugal,2018-07,1.575729
Portugal,2018-08,1.216979
Portugal,2018-09,1.397746
Portugal,2018-10,0.9586179
Portugal,2018-11,0.8581024
Portugal,2018-12,0.6642454
Portugal,2019-01,0.4758354
Portugal,2019-02,0.9394077
Portugal,2019-03,0.8465701
Portugal,2019-04,0.7706906
Portugal,2019-05,0.4212041
Portugal,2019-06,0.3873739
Portugal,2019-07,-0.3154666
Portugal,2019-08,-0.08519042
Portugal,2019-09,-0.1120014
Portugal,2019-10,0.01533022
Portugal,2019-11,0.3166445
Portugal,2019-12,0.4196492
Spain,2000-01,2.878244
Spain,2000-02,2.962815
Spain,2000-03,2.9172
Spain,2000-04,2.964295
Spain,2000-05,3.13872
Spain,2000-06,3.428798
Spain,2000-07,3.608052
Spain,2000-08,3.601389
Spain,2000-09,3.669732
Spain,2000-10,3.973836
Spain,2000-11,4.065334
Spain,2000-12,3.956661
Spain,2001-01,3.652341
Spain,2001-02,3.845796
Spain,2001-03,3.871566
Spain,2001-04,3.978668
Spain,2001-05,4.19871
Spain,2001-06,4.234296
Spain,2001-07,3.859272
Spain,2001-08,3.675596
Spain,2001-09,3.394637
Spain,2001-10,3.023172
Spain,2001-11,2.690623
Spain,2001-12,2.707587
Spain,2002-01,2.530325
Spain,2002-02,2.283004
Spain,2002-03,2.695414
Spain,2002-04,3.552515
Spain,2002-05,3.533702
Spain,2002-06,3.190342
Spain,2002-07,2.223817
